ENST00000009041.11	STARD3NL
ENST00000053468.4	MRPS10 
ENST00000054666.11	VAMP3
ENST00000056233.4	NFE2L3 
ENST00000164133.7	PPP2R5B
ENST00000193322.8	OSTM1
ENST00000199320.9	DIMT1
ENST00000200135.8	ZW10
ENST00000205636.4	CMTM6
ENST00000206423.7	CCDC80
ENST00000211314.5	TMEM14A
ENST00000216115.3	BIK
ENST00000218340.4	RP2
ENST00000221114.8	DCTN6 
ENST00000221847.6	EBI3
ENST00000222553.8	NAMPT
ENST00000223095.5	SERPINE1
ENST00000223273.7	YAE1
ENST00000223324.3	MRPL32
ENST00000228434.7	CD69
ENST00000229314.10	GOLT1B
ENST00000231512.5	C5orf15
ENST00000231572.8	RARS1
ENST00000233143.6	TMSB10
ENST00000233468.5	SF3B6
ENST00000235290.7	DLEU2
ENST00000238497.10	VPS4B
ENST00000241052.5	CAT
ENST00000242057.9	AHR
ENST00000242208.5	INHBA
ENST00000242719.4	RNF11
ENST00000244496.6	RRP36
ENST00000245046.6	EMC3
ENST00000245680.7	FLJ22004
ENST00000246794.10	PRRG2
ENST00000249075.4	LIF
ENST00000250263.8	ERI1
ENST00000250360.7	SIGLEC9
ENST00000253247.9	NOL11
ENST00000254301.14	LGALS3
ENST00000254810.8	H3-3B
ENST00000254816.6	TRIM47
ENST00000256104.5	FABP4
ENST00000256544.8	KATNBL1
ENST00000256722.9	CMPK2
ENST00000258534.13	DRAM1
ENST00000259467.9	PDCL
ENST00000260227.5	MMP7
ENST00000260356.6	THBS1
ENST00000260506.12	FNBP1L
ENST00000260843.5	GPR87
ENST00000261647.10	TTC19
ENST00000261811.6	CYSTM1
ENST00000261845.7	MAPK6
ENST00000261867.5	SLC30A4
ENST00000262193.7	PSMB1 
ENST00000262932.5	CNPY4
ENST00000262942.10	ARPC1A
ENST00000263238.7	ACTR3
ENST00000263339.4	IL1A
ENST00000263635.8	TANC1
ENST00000263856.9	CHMP3
ENST00000263960.6	COQ10B
ENST00000264192.8	CYTIP
ENST00000264255.8	TXNDC9
ENST00000264433.11	FNIP2
ENST00000264717.7	GCKR
ENST00000264741.10	 ITGA9
ENST00000264832.8	ICAM1
ENST00000264982.8	CEP70
ENST00000265026.8	MAP3K13
ENST00000265138.4	ARRDC3
ENST00000265361.8	SEMA3C
ENST00000266712.11	TMTC3
ENST00000269081.8	ABCA10
ENST00000269187.10	SLC39A6
ENST00000269195.5	GALNT1
ENST00000271277.11	CTTNBP2NL
ENST00000271588.9	HMCN1
ENST00000272252.10	GALM
ENST00000273986.10	CISD2
ENST00000275767.3	TMEM140
ENST00000276914.7	PLIN2
ENST00000276925.7	CDKN2B
ENST00000278174.9	BTBD10
