ENST00000449768.2	OAS2
ENST00000450443.1	AC093818.1
ENST00000452357.6	OAS1
ENST00000460006.6	CDS2
ENST00000467148.1	HELZ2
ENST00000469435.1	KLF6
ENST00000470357.1	VAMP3
ENST00000474629.7	PARP14
ENST00000480694.2	ENST00000480694.2
ENST00000484980.5	UNC119
ENST00000487099.7	NR6A1
ENST00000487273.7	ADAM9
ENST00000487698.5	SF3B1
ENST00000489637.3	MVB12B
ENST00000491511.6	NXPE3
ENST00000496166.6	PIK3CG
ENST00000502274.1	SH3TC2
ENST00000502482.1	ADGRA3
ENST00000502575.1	PDE4D
ENST00000507579.1	AC079921.2
ENST00000507644.2	RP11-11N5.1
ENST00000508296.5	AC139491.7
ENST00000512730.1	CTB-99A3.1
ENST00000514265.1	RP11-184M15.1
ENST00000515403.5	LOC643201
ENST00000515425.6	SH3TC2
ENST00000515614.3	AP001267.3
ENST00000518934.1	CTD-2339F6.1
ENST00000518947.6	HOXA-AS3
ENST00000519638.3	ERLIN2
ENST00000520370.1	AC090796.1
ENST00000522980.1	AF181450.1
ENST00000524189.6	KIF13B
ENST00000524717.6	MAML2
ENST00000526627.1	SMIM3
ENST00000528577.5	SGK1
ENST00000530572.1	AP002833.1
ENST00000532414.3	MEX3A
ENST00000539281.5	GSTO1
ENST00000540753.6	PTGS1
ENST00000544225.1	AC024224.2
ENST00000549278.2	LINC02458
ENST00000550263.2	MYG1-AS1
ENST00000557547.1	AL049775.2
ENST00000562918.5	ITGAX
ENST00000567032.5	 CYP1A1
ENST00000568418.1	LINC02193
ENST00000570080.1	THRB-202
ENST00000570137.7	CDYL2-207 
ENST00000572856.1	DLGAP1-AS2
ENST00000577066.2	BAIAP2-DT
ENST00000578049.4	SEC22B
ENST00000578921.6	RAB31
ENST00000579212.1	MIR5047
ENST00000579458.1	PCAT18
ENST00000595464.3	C5AR2
ENST00000602501.5	DHRS9
ENST00000604982.2	AC112220.2
ENST00000605896.1	Z97832.2
ENST00000606796.1	AL096865.1
ENST00000606831.1	STXBP5-AS1
ENST00000607197.6	HEBP2
ENST00000607772.6	CNKSR3
ENST00000608729.1	Lnc2Catlas
ENST00000610776.4	KCP
ENST00000611745.2	SRRM3
ENST00000614987.5	RPS6KA5
ENST00000615230.4	TNFRSF9
ENST00000616661.5	DHRS3
ENST00000617275.5	PLEKHA2
ENST00000617352.1	MCL1
ENST00000617424.1	ENST00000617424
ENST00000619109.1	U1.26
ENST00000619751.1	MIR7111
ENST00000623667.2	AC007405.1
ENST00000624112.1	AC008957.3
ENST00000624916.1	AC022497.1
ENST00000629357.1	TRG-AS1
ENST00000635852.1	LINC02009
ENST00000636231.2	CLEC19A
ENST00000636933.1	PLCXD2
ENST00000637996.1	ENST00000637996.1
ENST00000644419.1	LINC01036
ENST00000646974.2	TPM4
ENST00000647814.1	ABCC2
ENST00000648484.1	AL139405.1
ENST00000648566.1	BCL10
ENST00000648824.1	AKR1CL1
ENST00000650910.1	DLEU1
ENST00000651047.1	AC110772.2
ENST00000651128.1	ENC1
ENST00000651323.1	CTC1
ENST00000652019.1	ENST00000652019.1
ENST00000652215.1	NFE4
ENST00000654616.1	DIRC3
ENST00000655903.1	MAP3K14-AS1
ENST00000656002.1	ENST00000656002.1
ENST00000656121.1	LINC02518
ENST00000657137.1	ENST00000657137.1
ENST00000658634.1	DLEU1
ENST00000658923.1	MIR1302-2HG
ENST00000658968.1	ENST00000658968.1
ENST00000660086.1	ENST00000660086.1
ENST00000660258.1	AL133476.1
ENST00000661295.1	AC091182.1
ENST00000662829.1	AC012150.1
ENST00000663040.1	MIR1302-2HG
ENST00000663418.1	FAAH
ENST00000667589.1	Rnf10
ENST00000667880.1	ENST00000667880.1
ENST00000668039.1	LINC02193
ENST00000668174.1	DLEU1
ENST00000668402.1	AC090796.1
ENST00000668770.1	ENST00000668770.1
ENST00000671384.1	MT-CYB
ENST00000673291.1	AK2
